assembly_name	ena_accession	fasta_url	fastq_url
BAL01-003	GCA_900707325	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707325?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3417512/ERR3417512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3417512/ERR3417512_2.fastq.gz""]"
BAL01-004			
BAL01-005			
BAL01-006			
BAL01-007			
BAL01-012			
BAL01-013	GCA_900707365	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707365?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418580/ERR3418580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418580/ERR3418580_2.fastq.gz""]"
BAL01-014			
BAL01-017			
BAL01-019			
BAL01-020			
BAL01-025			
BAL01-029			
BAL01-031			
BAL01-032			
BAL01-033			
BAL01-034	GCA_900707355	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707355?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418582/ERR3418582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418582/ERR3418582_2.fastq.gz""]"
BAL01-036			
BAL01-043			
BAL01-044			
BAL01-048			
BAL01-049			
BAL01-050			
BAL01-051			
BAL01-052			
BAL01-053			
BAL02-001			
BAL02-005			
BAL02-006			
BAL02-009			
BAL02-010			
BAL02-012			
BAL02-013	GCA_900707385	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707385?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418636/ERR3418636_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3418636/ERR3418636_2.fastq.gz""]"
BAL02-014			
BAL02-015	GCA_900707395	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707395?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418583/ERR3418583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418583/ERR3418583_2.fastq.gz""]"
BAL02-017			
BAL02-019			
BAL02-020			
BAL02-022			
BAL02-023	GCA_900707405	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707405?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418637/ERR3418637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/007/ERR3418637/ERR3418637_2.fastq.gz""]"
BAL02-024			
BAL02-025			
BAL02-027			
BAL02-028			
BAL02-029			
BAL02-030			
BAL02-031			
BAL02-032			
BAL02-033			
BAL02-034			
BAL02-036			
BAL02-037			
BAL02-038			
BAL02-040			
BAL02-041			
BAL02-044			
BAL03-001			
BAL03-002	GCA_900707535	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707535?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/004/ERR3418584/ERR3418584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/004/ERR3418584/ERR3418584_2.fastq.gz""]"
BAL03-003	GCA_900707545	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707545?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418588/ERR3418588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418588/ERR3418588_2.fastq.gz""]"
BAL03-006			
BAL03-007			
BAL03-009			
BAL03-010			
BAL03-012			
BAL03-013			
BAL03-014			
BAL03-015			
BAL03-020			
BAL03-021			
BAL03-022			
BAL03-023			
BAL03-026			
BAL03-028	GCA_900707435	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707435?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418638/ERR3418638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418638/ERR3418638_2.fastq.gz""]"
BAL03-029			
BAL03-031			
BAL03-032			
BAL03-036			
BAL03-037			
BAL03-039			
BAL03-040			
BAL03-041			
BAL03-042			
BAL03-043			
BAL03-047			
BAL03-048			
BAL03-050			
BAL04-001			
BAL04-002			
BAL04-003	GCA_900707525	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707525?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418585/ERR3418585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418585/ERR3418585_2.fastq.gz""]"
BAL04-004			
BAL04-005			
BAL04-006			
BAL04-007			
BAL04-008			
BAL04-009			
BAL04-010			
BAL04-011			
BAL04-012			
BAL04-013			
